timestamp,airport,icao,temperature_c,dewpoint_c,wind_dir_deg,wind_speed_kt,wind_gust_kt,visibility_m,pressure_hpa,weather,clouds,raw
2025-12-16T00:51:34.571598+09:00,NRT,RJAA,3,-3,330,4,,9999,1019,,,RJAA 151530Z AUTO 33004KT 9999 NCD 03/M03 Q1019 NOSIG RMK A3009
2025-12-16T02:01:47.906552+09:00,NRT,RJAA,2,-4,320,3,,9999,1019,,,RJAA 151630Z AUTO 32003KT 9999 NCD 02/M04 Q1019 NOSIG RMK A3010
2025-12-16T02:51:45.977412+09:00,NRT,RJAA,1,-3,,2,,9999,1019,,,RJAA 151730Z AUTO VRB02KT 9999 NSC 01/M03 Q1019 NOSIG RMK A3011
2025-12-16T03:58:38.465780+09:00,NRT,RJAA,0,-3,,1,,9999,1020,,,METAR RJAA 151830Z AUTO VRB01KT 9999 NSC 00/M03 Q1020 NOSIG RMK A3012
2025-12-16T04:34:53.369419+09:00,NRT,RJAA,0,-3,0,0,,9999,1019,,,METAR RJAA 151900Z AUTO 00000KT 9999 NSC 00/M03 Q1019 NOSIG RMK A3012
2025-12-16T04:46:10.392652+09:00,NRT,RJAA,1,-2,,1,,9999,1020,,,METAR RJAA 151930Z AUTO VRB01KT 9999 NSC 01/M02 Q1020 NOSIG RMK A3012
2025-12-16T05:46:14.108930+09:00,NRT,RJAA,1,-2,350,2,,9999,1020,,,METAR RJAA 152030Z AUTO 35002KT 9999 NSC 01/M02 Q1020 NOSIG RMK A3014
2025-12-16T06:38:12.324461+09:00,NRT,RJAA,2,-2,,2,,9999,1020,,FEW20 BKN60,RJAA 152100Z VRB02KT 9999 FEW020 BKN060 02/M02 Q1020 NOSIG RMK 1CU020 7SC060 A3014
2025-12-16T06:50:28.277818+09:00,NRT,RJAA,1,-2,350,4,,9999,1020,,FEW20 SCT60,RJAA 152130Z 35004KT 9999 FEW020 SCT060 01/M02 Q1020 NOSIG RMK 1CU020 3SC060 A3014
2025-12-16T07:41:41.730538+09:00,NRT,RJAA,3,-2,300,3,,9999,1021,,FEW30 BKN50,RJAA 152230Z 30003KT 260V330 9999 FEW030 BKN050 03/M02 Q1021 NOSIG RMK 1CU030 5SC050 A3016
2025-12-16T08:35:25.071781+09:00,NRT,RJAA,4,-1,,2,,9999,1021,,FEW30 BKN50,RJAA 152300Z VRB02KT 9999 FEW030 BKN050 04/M01 Q1021 BECMG 34005KT RMK 1CU030 6SC050 A3016
2025-12-16T08:48:40.624729+09:00,NRT,RJAA,5,-2,320,5,,9999,1021,,FEW30 BKN50,RJAA 152330Z 32005KT 9999 FEW030 BKN050 05/M02 Q1021 NOSIG RMK 1CU030 6SC050 A3016
2025-12-16T12:49:16.684992+09:00,NRT,RJAA,11,0,320,3,,9999,1018,,FEW30 BKN50,RJAA 160330Z 32003KT 260V030 9999 FEW030 BKN050 11/00 Q1018 BECMG TL0500 14005KT RMK 1CU030 5SC050 A3009
2025-12-16T13:58:52.226017+09:00,NRT,RJAA,11,0,,3,,9999,1018,,FEW30 SCT50,RJAA 160430Z VRB03KT 9999 FEW030 SCT050 11/M00 Q1018 BECMG 14005KT RMK 1CU030 3SC050 A3007
2025-12-16T14:47:34.886584+09:00,NRT,RJAA,12,0,,3,,9999,1018,,FEW30,RJAA 160530Z VRB03KT 9999 FEW030 12/00 Q1018 BECMG 18005KT RMK 1CU030 A3007
2025-12-16T15:59:34.971554+09:00,NRT,RJAA,11,0,190,3,,9999,1018,,FEW30,RJAA 160630Z 19003KT 9999 FEW030 11/M00 Q1018 NOSIG RMK 1CU030 A3007
2025-12-16T16:41:41.223214+09:00,NRT,RJAA,7,1,170,3,,9999,1018,,FEW30,RJAA 160730Z 17003KT 9999 FEW030 07/01 Q1018 NOSIG
2025-12-16T17:58:12.317703+09:00,NRT,RJAA,5,1,130,3,,9999,1018,,FEW30,RJAA 160830Z 13003KT 9999 FEW030 05/01 Q1018 NOSIG RMK 1CU030 A3007
2025-12-16T18:50:12.595485+09:00,NRT,RJAA,4,1,170,3,,9999,1018,,FEW30,RJAA 160930Z 17003KT 9999 FEW030 04/01 Q1018 NOSIG RMK 1CU030 A3007
2025-12-16T19:52:02.326047+09:00,NRT,RJAA,4,2,200,1,,9999,1018,,FEW30,RJAA 161030Z 20001KT 9999 FEW030 04/02 Q1018 NOSIG RMK 1CU030 A3007
2025-12-16T20:34:03.829372+09:00,NRT,RJAA,3,2,190,1,,9999,1018,,FEW30,RJAA 161100Z 19001KT 9999 FEW030 03/02 Q1018 NOSIG RMK 1CU030 A3007
2025-12-16T20:49:22.853405+09:00,NRT,RJAA,3,2,0,0,,9999,1018,,FEW30,RJAA 161130Z 00000KT 9999 FEW030 03/02 Q1018 NOSIG RMK 1CU030 A3007
2025-12-16T22:51:32.012992+09:00,NRT,RJAA,2,1,,2,,9999,1018,,FEW30,RJAA 161330Z VRB02KT 9999 FEW030 02/01 Q1018 BECMG 31005KT RMK 1CU030 A3007
