取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-02-17T03:42:19.765817+09:00,大連,ZYTL,-3,-8,260,4,,9999,1026,,,ZYTL 161830Z 26004MPS CAVOK M03/M08 Q1026 NOSIG
2026-02-17T04:29:03.762753+09:00,大連,ZYTL,0,-7,240,5,,9999,1025,,,ZYTL 161900Z 24005MPS CAVOK M00/M07 Q1025 NOSIG
2026-02-17T04:55:21.351819+09:00,大連,ZYTL,0,-7,240,4,,9999,1025,,,ZYTL 161930Z 24004MPS CAVOK M00/M07 Q1025 NOSIG
2026-02-17T05:24:35.429058+09:00,大連,ZYTL,-1,-8,200,3,,9999,1025,,,ZYTL 162000Z 20003MPS CAVOK M01/M08 Q1025 NOSIG
2026-02-17T05:59:04.503566+09:00,大連,ZYTL,0,-9,180,2,,9999,1024,,,ZYTL 162030Z 18002MPS CAVOK 00/M09 Q1024 NOSIG
2026-02-17T06:34:56.616654+09:00,大連,ZYTL,-1,-9,,1,,9999,1024,,,ZYTL 162100Z VRB01MPS CAVOK M01/M09 Q1024 NOSIG
2026-02-17T06:55:37.642604+09:00,大連,ZYTL,-4,-9,0,0,,9999,1023,,,ZYTL 162130Z 00000MPS CAVOK M04/M09 Q1023 NOSIG
2026-02-17T07:23:41.468159+09:00,大連,ZYTL,-3,-9,,1,,9999,1023,,,ZYTL 162200Z VRB01MPS CAVOK M03/M09 Q1023 NOSIG
2026-02-17T08:00:14.677705+09:00,大連,ZYTL,-1,-9,280,3,,9999,1023,,,ZYTL 162230Z 28003MPS CAVOK M01/M09 Q1023 NOSIG
2026-02-17T08:46:17.282225+09:00,大連,ZYTL,1,-8,290,3,,9999,1023,,,ZYTL 162330Z 29003MPS CAVOK 01/M08 Q1023 NOSIG
2026-02-17T10:44:17.551218+09:00,大連,ZYTL,5,-9,270,7,,9999,1023,,,ZYTL 170130Z 27007MPS CAVOK 05/M09 Q1023 NOSIG
2026-02-17T13:13:57.282392+09:00,大連,ZYTL,8,-12,280,7,,9999,1021,,,ZYTL 170400Z 28007MPS CAVOK 08/M12 Q1021 NOSIG
2026-02-17T14:37:57.563553+09:00,大連,ZYTL,8,-12,280,9,,9999,1020,,,ZYTL 170530Z 28009MPS CAVOK 08/M12 Q1020 NOSIG
2026-02-17T15:36:44.356189+09:00,大連,ZYTL,8,-11,270,9,,9999,1019,,,ZYTL 170600Z 27009MPS CAVOK 08/M11 Q1019 NOSIG
2026-02-17T16:35:51.248410+09:00,大連,ZYTL,8,-12,270,8,,9999,1019,,,ZYTL 170700Z 27008MPS CAVOK 08/M12 Q1019 NOSIG
