取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-07-17T01:00:28.506376+09:00,成田,RJAA,26,26,160,5,,4000,1003,BR,OVC1,RJAA 161530Z AUTO 16005KT 4000 BR OVC001 26/26 Q1003 TEMPO 2000 BR
2026-07-17T02:40:55.946523+09:00,成田,RJAA,26,25,130,3,,2900,1002,BR,OVC1,RJAA 161730Z AUTO 13003KT 2900 BR OVC001 26/25 Q1002 BECMG FEW001 BKN003
2026-07-17T04:01:08.906447+09:00,成田,RJAA,26,26,,2,,3400,1002,-RA BR,BKN1 OVC14,RJAA 161830Z AUTO VRB02KT 3400 -RA BR BKN001 OVC014 26/26 Q1002 BECMG 14005KT FEW001 BKN003 TEMPO 3000 BR
2026-07-17T05:12:32.438068+09:00,成田,RJAA,26,25,160,4,,3900,1003,BR,OVC2,RJAA 162000Z AUTO 16004KT 3900 BR OVC002 26/25 Q1003 NOSIG
2026-07-17T06:17:57.872975+09:00,成田,RJAA,26,26,150,4,,4000,1003,BR VCSH,SCT2 BKN5 BKN12,RJAA 162100Z 15004KT 4000 BR VCSH SCT002 BKN005 BKN012 26/26 Q1003 NOSIG
2026-07-17T07:17:26.711393+09:00,成田,RJAA,26,25,180,5,,4000,1003,+SHRA BR,SCT3 BKN5 BKN12,RJAA 162200Z 18005KT 4000 R16R/P2000N R16L/P2000N +SHRA BR SCT003 BKN005 BKN012 26/25 Q1003 BECMG -SHRA BR
2026-07-17T08:13:06.907038+09:00,成田,RJAA,26,25,160,7,,4000,1004,-SHRA BR,FEW3 BKN5,RJAA 162300Z 16007KT 4000 -SHRA BR FEW003 BKN005 26/25 Q1004 NOSIG
2026-07-17T09:13:43.646290+09:00,成田,RJAA,27,26,150,11,,6000,1004,-SHRA,FEW5 BKN7 BKN15,RJAA 170000Z 15011KT 6000 -SHRA FEW005 BKN007 BKN015 27/26 Q1004 TEMPO 3000 SHRA BR FEW002 BKN005
2026-07-17T12:40:21.403548+09:00,成田,RJAA,26,26,150,10,,5000,1004,-SHRA BR,FEW3 BKN6 BKN9,RJAA 170300Z 15010KT 5000 -SHRA BR FEW003 BKN006 BKN009 26/26 Q1004 NOSIG
2026-07-17T15:10:35.604545+09:00,成田,RJAA,26,25,150,8,,7000,1004,VCSH,FEW5 BKN8 BKN20,RJAA 170600Z 15008KT 7000 VCSH FEW005 BKN008 BKN020 26/25 Q1004 NOSIG
2026-07-17T17:29:24.112426+09:00,成田,RJAA,26,25,140,8,,8000,1004,-SHRA,FEW5 BKN8 BKN15,RJAA 170800Z 14008KT 8000 -SHRA FEW005 BKN008 BKN015 26/25 Q1004 NOSIG
2026-07-17T19:22:27.430914+09:00,成田,RJAA,25,24,130,9,,8000,1005,VCSH,FEW4 BKN6 BKN8,RJAA 171000Z 13009KT 8000 VCSH FEW004 BKN006 BKN008 25/24 Q1005 NOSIG
2026-07-17T20:54:37.727828+09:00,成田,RJAA,25,24,140,9,,9999,1006,,FEW5 SCT8 BKN15,RJAA 171130Z 14009KT 9999 FEW005 SCT008 BKN015 25/24 Q1006 TEMPO FEW005 BKN008
