空港名,予報時刻,変化の種類,風情報,視程,天気,雲の状態,原文セグメント
成田,2026-05-31 21:00,FROM,14004KT,8000,,FEW8 SCT15,3112/0118 14004KT 8000 FEW008 SCT015
成田,2026-05-31 22:00,FROM,14004KT,8000,,FEW8 SCT15,3112/0118 14004KT 8000 FEW008 SCT015
成田,2026-05-31 23:00,FROM,14004KT,8000,,FEW8 SCT15,3112/0118 14004KT 8000 FEW008 SCT015
成田,2026-06-01 00:00,FROM,14004KT,8000,,FEW8 SCT15,3112/0118 14004KT 8000 FEW008 SCT015
成田,2026-06-01 01:00,TEMPO,,4000,BR,FEW3 BKN8,TEMPO 3116/3118 4000 BR FEW003 BKN008
成田,2026-06-01 02:00,TEMPO,,4000,BR,FEW3 BKN8,TEMPO 3116/3118 4000 BR FEW003 BKN008
成田,2026-06-01 03:00,TEMPO,,3000,BR,FEW1 SCT2 BKN3,TEMPO 3118/3122 3000 BR FEW001 SCT002 BKN003
成田,2026-06-01 04:00,TEMPO,,3000,BR,FEW1 SCT2 BKN3,TEMPO 3118/3122 3000 BR FEW001 SCT002 BKN003
成田,2026-06-01 05:00,TEMPO,,3000,BR,FEW1 SCT2 BKN3,TEMPO 3118/3122 3000 BR FEW001 SCT002 BKN003
成田,2026-06-01 06:00,TEMPO,,3000,BR,FEW1 SCT2 BKN3,TEMPO 3118/3122 3000 BR FEW001 SCT002 BKN003
成田,2026-06-01 07:00,TEMPO,,4000,BR,FEW3 BKN8,TEMPO 3122/0100 4000 BR FEW003 BKN008
成田,2026-06-01 08:00,TEMPO,,4000,BR,FEW3 BKN8,TEMPO 3122/0100 4000 BR FEW003 BKN008
成田,2026-06-01 09:00,TEMPO,,4000,BR,FEW3 BKN8,TEMPO 3122/0100 4000 BR FEW003 BKN008
成田,2026-06-01 10:00,FROM,14004KT,8000,,FEW8 SCT15,3112/0118 14004KT 8000 FEW008 SCT015
成田,2026-06-01 11:00,FROM,14004KT,8000,,FEW8 SCT15,3112/0118 14004KT 8000 FEW008 SCT015
成田,2026-06-01 12:00,FROM,14004KT,8000,,FEW8 SCT15,3112/0118 14004KT 8000 FEW008 SCT015
