取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-07-18T01:09:44.712396+09:00,石家荘,ZBSJ,23,21,160,1,,9999,1003,,,ZBSJ 171600Z 16001MPS CAVOK 23/21 Q1003 NOSIG
2026-07-18T02:32:25.620132+09:00,石家荘,ZBSJ,22,21,160,1,,9999,1002,,,ZBSJ 171700Z 16001MPS CAVOK 22/21 Q1002 NOSIG
2026-07-18T03:37:38.139151+09:00,石家荘,ZBSJ,22,21,140,1,,7000,1002,,,ZBSJ 171800Z 14001MPS 7000 NSC 22/21 Q1002 NOSIG
2026-07-18T04:43:20.700310+09:00,石家荘,ZBSJ,21,21,,1,,7000,1002,,,ZBSJ 171900Z VRB01MPS 7000 NSC 21/21 Q1002 NOSIG
2026-07-18T05:47:14.285961+09:00,石家荘,ZBSJ,21,21,160,1,,7000,1001,,,ZBSJ 172000Z 16001MPS 7000 NSC 21/21 Q1001 NOSIG
2026-07-18T06:45:42.919054+09:00,石家荘,ZBSJ,21,21,150,2,,6000,1001,,,ZBSJ 172100Z 15002MPS 6000 NSC 21/21 Q1001 NOSIG
2026-07-18T07:42:25.689582+09:00,石家荘,ZBSJ,22,21,0,0,,3500,1002,BR,,ZBSJ 172200Z 00000MPS 3500 BR NSC 22/21 Q1002 NOSIG
2026-07-18T08:46:45.886951+09:00,石家荘,ZBSJ,23,22,150,1,,3500,1002,BR,,ZBSJ 172300Z 15001MPS 3500 BR NSC 23/22 Q1002 NOSIG
2026-07-18T10:56:25.242186+09:00,石家荘,ZBSJ,27,22,,1,,8000,1002,,,ZBSJ 180100Z VRB01MPS 8000 NSC 27/22 Q1002 NOSIG
2026-07-18T13:47:11.233565+09:00,石家荘,ZBSJ,29,22,240,2,,9999,1002,-RA,FEW40,ZBSJ 180400Z 24002MPS 190V310 9999 -RA FEW040 29/22 Q1002 NOSIG
2026-07-18T15:57:06.330183+09:00,石家荘,ZBSJ,30,22,220,2,,9999,1002,-RA,FEW40,ZBSJ 180600Z 22002MPS 120V280 9999 -RA FEW040 30/22 Q1002 NOSIG
2026-07-18T17:47:48.533683+09:00,石家荘,ZBSJ,30,23,,1,,9999,1001,,FEW46,ZBSJ 180800Z VRB01MPS 9999 FEW046 30/23 Q1001 NOSIG
2026-07-18T19:14:07.720822+09:00,石家荘,ZBSJ,28,24,170,4,,9999,1001,,,ZBSJ 181000Z 17004MPS CAVOK 28/24 Q1001 NOSIG
2026-07-18T20:18:34.522062+09:00,石家荘,ZBSJ,28,24,170,2,,7000,1001,,,ZBSJ 181100Z 17002MPS 130V270 7000 NSC 28/24 Q1001 NOSIG
2026-07-18T21:07:46.918291+09:00,石家荘,ZBSJ,27,24,140,1,,5000,1002,BR,,ZBSJ 181200Z 14001MPS 5000 BR NSC 27/24 Q1002 NOSIG
2026-07-18T22:51:59.712242+09:00,石家荘,ZBSJ,25,24,,1,,5000,1002,BR,,ZBSJ 181300Z VRB01MPS 5000 BR NSC 25/24 Q1002 NOSIG
2026-07-18T23:45:49.070906+09:00,石家荘,ZBSJ,25,24,160,1,,5000,1003,BR,,ZBSJ 181400Z 16001MPS 5000 BR NSC 25/24 Q1003 NOSIG
