取得日時,空港名,ICAOコード,気温(°C),露点温度(°C),風向(°),風速(kt),最大瞬間風速(kt),視程(m),気圧(hPa),現在天気,雲の状態,原文
2026-01-20T00:21:20.687771+09:00,羽田,RJTT,9,5,360,5,,9999,1005,,,RJTT 191500Z 36005KT CAVOK 09/05 Q1005 NOSIG
2026-01-20T00:53:37.476555+09:00,羽田,RJTT,9,4,360,6,,9999,1005,,,RJTT 191530Z 36006KT CAVOK 09/04 Q1005 NOSIG
2026-01-20T01:22:34.782829+09:00,羽田,RJTT,9,4,10,8,,9999,1005,,,RJTT 191600Z 01008KT CAVOK 09/04 Q1005 NOSIG
2026-01-20T01:59:00.907681+09:00,羽田,RJTT,9,3,320,4,,9999,1005,,,RJTT 191630Z 32004KT CAVOK 09/03 Q1005 NOSIG
2026-01-20T02:27:26.851295+09:00,羽田,RJTT,8,3,300,5,,9999,1005,,,RJTT 191700Z 30005KT CAVOK 08/03 Q1005 NOSIG
2026-01-20T02:51:55.767783+09:00,羽田,RJTT,8,2,310,4,,9999,1005,,,RJTT 191730Z 31004KT CAVOK 08/02 Q1005 NOSIG
2026-01-20T03:24:48.163320+09:00,羽田,RJTT,7,3,310,6,,9999,1004,,,RJTT 191800Z 31006KT CAVOK 07/03 Q1004 NOSIG
2026-01-20T03:58:14.425863+09:00,羽田,RJTT,8,3,320,4,,9999,1003,,FEW30,RJTT 191830Z 32004KT 9999 FEW030 08/03 Q1003 BECMG 34020KT
2026-01-20T04:21:56.036446+09:00,羽田,RJTT,8,3,,2,,9999,1003,,,RJTT 191900Z VRB02KT CAVOK 08/03 Q1003 BECMG 33020KT
2026-01-20T04:45:37.358946+09:00,羽田,RJTT,7,3,20,4,,9999,1003,,,RJTT 191930Z 02004KT CAVOK 07/03 Q1003 BECMG 34025KT TEMPO 34025G35KT
2026-01-20T05:18:43.834099+09:00,羽田,RJTT,7,3,,2,,9999,1004,,,RJTT 192000Z VRB02KT CAVOK 07/03 Q1004 BECMG 33020KT TEMPO 34025G35KT
2026-01-20T05:41:40.906685+09:00,羽田,RJTT,7,3,320,4,,9999,1004,,,RJTT 192030Z 32004KT 260V340 CAVOK 07/03 Q1004 BECMG 34026KT TEMPO 34026G37KT
2026-01-20T06:15:18.313028+09:00,羽田,RJTT,7,2,260,6,,9999,1005,,,RJTT 192100Z 26006KT CAVOK 07/02 Q1005 BECMG 34025KT TEMPO 34026G37KT
2026-01-20T06:34:34.375090+09:00,羽田,RJTT,7,2,260,6,,9999,1005,,,RJTT 192100Z 26006KT CAVOK 07/02 Q1005 BECMG 34025KT TEMPO 34026G37KT
